#  (0) time_chosen [Gyr]    (1) Mtot [Msun]    (2) Mgas_v [Msun]    (3) Mstar_v [Msun]    (4) SFR_v [Msun/yr]    (5)Infall_v [Msun/yr]    (6) Z_v    (7) G_v    (8) S_v 	(9) Rate_SNII
3.1100e-03   1.0000e-32   1.0000e-32   1.0000e-32   1.0000e-41   8.2991e+00   1.9200e+02   1.0000e+00   0.0000e+00   1.0000e-32  
1.3110e-02   8.2932e+07   8.2991e+07   1.0100e-32   8.2991e-02   8.2872e+00   1.0000e+00   1.0007e+00   -7.1429e-04  1.0000e-32  
2.3110e-02   1.6574e+08   1.6503e+08   8.2991e+05   1.6503e-01   8.2754e+00   9.5161e+02   9.9571e-01   4.2929e-03   1.0000e-32  
3.3110e-02   2.4844e+08   2.4614e+08   2.4802e+06   2.4614e-01   8.2636e+00   1.2622e+03   9.9073e-01   9.2690e-03   1.0000e-32  
4.3110e-02   3.3102e+08   3.2631e+08   4.9416e+06   3.2631e-01   8.2518e+00   1.4129e+03   9.8579e-01   1.4214e-02   1.0000e-32  
5.3110e-02   4.1348e+08   4.0557e+08   8.2047e+06   4.0557e-01   8.2400e+00   1.4995e+03   9.8087e-01   1.9129e-02   1.0000e-32  
6.3110e-02   4.9582e+08   4.8391e+08   1.2260e+07   4.8391e-01   8.2283e+00   1.5542e+03   9.7599e-01   2.4013e-02   1.0000e-32  
7.3110e-02   5.7804e+08   5.6135e+08   1.7099e+07   5.6135e-01   8.2165e+00   1.5906e+03   9.7113e-01   2.8868e-02   1.0000e-32  
8.3110e-02   6.6015e+08   6.3791e+08   2.2713e+07   6.3791e-01   8.2048e+00   1.6156e+03   9.6631e-01   3.3692e-02   1.0000e-32  
9.3110e-02   7.4214e+08   7.1357e+08   2.9092e+07   7.1357e-01   8.1931e+00   1.6330e+03   9.6151e-01   3.8486e-02   1.0000e-32  
1.0311e-01   8.2401e+08   7.8837e+08   3.6228e+07   7.8837e-01   8.1814e+00   1.6452e+03   9.5675e-01   4.3251e-02   1.0000e-32  
1.1311e-01   9.0576e+08   8.6230e+08   4.4112e+07   8.6230e-01   8.1697e+00   1.6534e+03   9.5201e-01   4.7987e-02   1.0000e-32  
1.2311e-01   9.8740e+08   9.3537e+08   5.2735e+07   9.3537e-01   8.1580e+00   1.6588e+03   9.4731e-01   5.2693e-02   1.0000e-32  
1.3311e-01   1.0689e+09   1.0076e+09   6.2088e+07   1.0076e+00   8.1464e+00   1.6620e+03   9.4263e-01   5.7371e-02   1.0000e-32  
